name,area,created_at,current_price,change_rate,road_address,latitude,longitude,variants,price_2024,image,price_2022,price_2023,price_2025
삼환SOGOOD,105.6,2024-01-01 00:00:00,190000.0,,도곡로 413,37.4975626710697,127.055719026391,"[{'전용면적(㎡)': 105.6, '거래금액(만원)': 190000.0}]",190000.0,,,,
상록수,84.95,2024-01-01 00:00:00,235000.0,,광평로10길 15,37.482899384108,127.083445404216,"[{'전용면적(㎡)': 84.95, '거래금액(만원)': 235000.0}, {'전용면적(㎡)': 74.54, '거래금액(만원)': 218000.0}]",235000.0,,,,
상지리츠빌(1호라인),153.65,2023-01-01 00:00:00,190000.0,,언주로 320,37.4965431435832,127.045969489236,"[{'전용면적(㎡)': 153.65, '거래금액(만원)': 190000.0}]",,,,190000.0,
상지리츠빌4B,172.98,2024-01-01 00:00:00,352000.0,,압구정로77길 39,37.5277328245039,127.048058927989,"[{'전용면적(㎡)': 172.98, '거래금액(만원)': 352000.0}]",352000.0,,,,
상지리츠빌5B,152.85,2022-01-01 00:00:00,290000.0,,도산대로101길 17-5,37.5263589576027,127.052343501004,"[{'전용면적(㎡)': 152.85, '거래금액(만원)': 290000.0}]",,,290000.0,,
상지리츠빌9차,200.88,2023-01-01 00:00:00,440000.0,,압구정로77길 27,37.5268977545178,127.047889941387,"[{'전용면적(㎡)': 200.88, '거래금액(만원)': 440000.0}]",,,,440000.0,
상지리츠빌카일룸,210.5,2023-01-01 00:00:00,650000.0,,남부순환로373길 23,37.487864015163,127.04382497418,"[{'전용면적(㎡)': 210.5, '거래금액(만원)': 650000.0}]",,,,650000.0,
상지리츠빌카일룸(65-4),237.74,2024-01-01 00:00:00,600000.0,,삼성로 636,37.5168105042746,127.051699880568,"[{'전용면적(㎡)': 237.74, '거래금액(만원)': 600000.0}]",600000.0,,,,
상지리츠빌카일룸2차,244.32,2024-01-01 00:00:00,1000000.0,,압구정로79길 87,37.5264793535456,127.054290431887,"[{'전용면적(㎡)': 244.32, '거래금액(만원)': 1000000.0}]",1000000.0,,,,
새롬(1164-12),73.5,2022-01-01 00:00:00,111500.0,,논현로2길 34,37.4731834684553,127.052957898166,"[{'전용면적(㎡)': 73.5, '거래금액(만원)': 111500.0}]",,,111500.0,,
새롬(1164-13),59.67,2024-01-01 00:00:00,79500.0,,논현로2길 36,37.4732789109622,127.053101764261,"[{'전용면적(㎡)': 59.67, '거래금액(만원)': 79500.0}]",79500.0,,,,
새롬(1164-14),57.93,2023-01-01 00:00:00,50000.0,,논현로2길 38,37.4733733628436,127.053244160377,"[{'전용면적(㎡)': 57.93, '거래금액(만원)': 50000.0}]",,,,50000.0,
샘터마을,134.438,2024-01-01 00:00:00,276000.0,4.15,일원로 120,37.4852019134102,127.082672775781,"[{'전용면적(㎡)': 134.438, '거래금액(만원)': 276000.0}, {'전용면적(㎡)': 101.97, '거래금액(만원)': 265000.0}]",276000.0,,265000.0,,
서광아파트,84.93,2024-01-01 00:00:00,220000.0,,선릉로130길 19,37.5170321477204,127.042937103599,"[{'전용면적(㎡)': 84.93, '거래금액(만원)': 220000.0}, {'전용면적(㎡)': 59.67, '거래금액(만원)': 176000.0}]",220000.0,,,,
